SecondaryTradeID	SecondaryTrade
1	antiquarian
2	apprentice
3	copperplate
4	ballad
5	stereotype
6	flying
7	journeyman
8	chapbook
9	bible
10	manufacturing
11	law
12	lithographic
13	maps
14	newspaper
15	rolling press
16	pamphlet
17	aquatint
18	retail
19	prints
20	travelling
21	music
22	wood
23	wholesale
24	steel
25	proprietor
26	mezzotint
27	architectural
28	assistant
29	coloured
30	landscape
31	heraldic
32	fancy
33	medical
34	historical
35	juvenile
36	mathematical
37	circulating
38	letter
39	magazine
40	nautical
41	ornamental
42	periodical
43	steam
44	marbled
45	secondhand
46	portrait
48	vellum
49	writing
50	labourer
52	subscription
53	dramatic/theatrical
54	hawker
55	pedlar
56	quill
57	news
58	calenderer
